Model,RMSE,R2 Score
Random Forest,12.952100172625205,0.9322378284021453
XGBoost,13.080999936470555,0.9308823739250143
Gradient Boosting,13.631241639601269,0.9249453231562335
KNN,14.387480479071248,0.9163864965368639
Decision Tree,18.83941492919272,0.8566354588703402
AdaBoost,22.006747048087583,0.804377578981433
Linear Regression,36.739618145154886,0.4547744458780648
Ridge Regression,36.746792093025455,0.45456149855953387
Lasso Regression,37.17222065916961,0.44185898309873195
SVR,42.682569234390016,0.2641182487863526
